eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201401010001,2014,1,1,45,Colombia,3,South America,8.86879,-73.194094,1,0,3,Bombing/Explosion,21,Utilities,National Liberation Army of Colombia (ELN),6,Explosives/Bombs/Dynamite,0,0,0,0,1,4,Unknown
201401010002,2014,1,1,182,Somalia,11,Sub-Saharan Africa,2.033333,45.35,1,1,3,Bombing/Explosion,1,Business,Al-Shabaab,6,Explosives/Bombs/Dynamite,4,1.5,20,0,1,3,Minor (likely < $1 million)
201401010003,2014,1,1,153,Pakistan,6,South Asia,30.191332,67.003051,1,1,3,Bombing/Explosion,14,Private Citizens & Property,Jaish-e-Islam,6,Explosives/Bombs/Dynamite,3,1,31,0,1,3,Minor (likely < $1 million)
201401010004,2014,1,1,153,Pakistan,6,South Asia,29.033333,69.15,0,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201401010005,2014,1,1,182,Somalia,11,Sub-Saharan Africa,1.097128,42.598368,1,0,6,Hostage Taking (Kidnapping),12,NGO,Al-Shabaab,13,Unknown,,0,,0,0,,
201401010007,2014,1,1,95,Iraq,10,Middle East & North Africa,36.37658,43.18292,1,1,3,Bombing/Explosion,4,Military,Unknown,6,Explosives/Bombs/Dynamite,2,1,6,0,-9,,
201401010017,2014,1,1,95,Iraq,10,Middle East & North Africa,33.9976,44.365196,1,0,2,Armed Assault,4,Military,Unknown,5,Firearms,2,0,3,0,-9,,
201401010018,2014,1,1,95,Iraq,10,Middle East & North Africa,33.66564,44.375984,1,0,2,Armed Assault,3,Police,Muslim Fundamentalists,5,Firearms,4,0,12,0,1,3,Minor (likely < $1 million)
201401010020,2014,1,1,92,India,6,South Asia,24.782772,93.943216,1,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,-9,,
201401010021,2014,1,1,92,India,6,South Asia,24.812291,93.947471,1,0,3,Bombing/Explosion,20,Unknown,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,-9,,
201401010022,2014,1,1,4,Afghanistan,6,South Asia,31.363647,63.958611,1,0,9,Unknown,4,Military,Unknown,13,Unknown,1,0,0,0,0,,
201401010023,2014,1,1,60,Egypt,10,Middle East & North Africa,30.121675,31.245176,1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives/Bombs/Dynamite,0,0,3,0,1,3,Minor (likely < $1 million)
201401010024,2014,1,1,95,Iraq,10,Middle East & North Africa,33.354334,43.783581,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010025,2014,1,1,95,Iraq,10,Middle East & North Africa,33.351466,43.784267,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,1,0,0,0,1,3,Minor (likely < $1 million)
201401010026,2014,1,1,95,Iraq,10,Middle East & North Africa,33.354334,43.783581,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010027,2014,1,1,95,Iraq,10,Middle East & North Africa,33.354334,43.783581,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010028,2014,1,1,95,Iraq,10,Middle East & North Africa,33.354334,43.783581,1,0,2,Armed Assault,2,Government (General),Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,-9,,
201401010029,2014,1,1,95,Iraq,10,Middle East & North Africa,33.429436,43.304989,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010030,2014,1,1,95,Iraq,10,Middle East & North Africa,33.429436,43.304989,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010031,2014,1,1,95,Iraq,10,Middle East & North Africa,33.431012,43.309967,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010032,2014,1,1,95,Iraq,10,Middle East & North Africa,33.431585,43.308765,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010033,2014,1,1,95,Iraq,10,Middle East & North Africa,33.358348,43.779488,0,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,0,,
201401010034,2014,1,1,95,Iraq,10,Middle East & North Africa,33.401137,43.909422,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010035,2014,1,1,95,Iraq,10,Middle East & North Africa,33.401137,43.909422,1,0,2,Armed Assault,3,Police,Islamic State of Iraq and the Levant (ISIL),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201401010036,2014,1,1,4,Afghanistan,6,South Asia,32.105916,66.907497,1,0,3,Bombing/Explosion,3,Police,Taliban,6,Explosives/Bombs/Dynamite,1,0,2,0,1,3,Minor (likely < $1 million)
201401010038,2014,1,1,95,Iraq,10,Middle East & North Africa,33.036082,40.285743,1,1,3,Bombing/Explosion,3,Police,Unknown,6,Explosives/Bombs/Dynamite,3,1,6,0,-9,,
201401010039,2014,1,1,182,Somalia,11,Sub-Saharan Africa,2.033333,45.35,1,1,3,Bombing/Explosion,4,Military,Al-Shabaab,6,Explosives/Bombs/Dynamite,7,1.5,20,0,1,3,Minor (likely < $1 million)
201401010040,2014,1,1,182,Somalia,11,Sub-Saharan Africa,2.033333,45.35,1,0,3,Bombing/Explosion,1,Business,Al-Shabaab,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201401010044,2014,1,1,95,Iraq,10,Middle East & North Africa,36.34,43.13,1,0,3,Bombing/Explosion,1,Business,Unknown,6,Explosives/Bombs/Dynamite,4,0,14,0,-9,,
